Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
530,4257,85.71428680419922,75.91401672363281,30298
531,4258,85.71428680419922,75.48918914794922,29563
532,4261,86.36363983154297,76.73284149169922,29973
533,4262,87.00565338134766,77.54972839355469,30648
534,4263,87.00565338134766,77.45069122314453,30068
535,4264,87.64044952392578,78.15262603759766,29501
536,4265,87.64044952392578,78.34187316894531,30324
537,4268,87.64044952392578,78.17339324951172,30720
538,4269,85.71428680419922,75.32974243164062,31087
539,4270,87.00565338134766,77.00453186035156,30990
540,4271,85.71428680419922,75.30924224853516,30056
541,4272,88.26815795898438,79.60810089111328,29191
542,4274,86.36363983154297,76.56060791015625,29717
543,4275,87.64044952392578,78.37641906738281,30288
544,4276,88.26815795898438,79.2184829711914,29520
545,4280,87.64044952392578,78.97894287109375,30361
546,4281,86.36363983154297,76.39723205566406,29492
547,4282,87.64044952392578,78.12521362304688,29851
548,4283,87.00565338134766,77.51721954345703,29285
549,4285,86.36363983154297,76.98042297363281,29506
550,4286,87.00565338134766,77.35052490234375,30144
551,4288,86.36363983154297,76.80848693847656,29403
552,4289,85.71428680419922,75.90650177001953,30403
553,4290,88.26815795898438,79.3270263671875,29471
554,4291,87.64044952392578,78.55022430419922,30216
555,4292,87.00565338134766,77.18656921386719,30220
556,4293,87.00565338134766,77.5439453125,30125
557,4294,85.71428680419922,75.550537109375,30414
558,4298,87.00565338134766,77.49500274658203,30955
559,4299,87.00565338134766,77.21525573730469,30097
560,4300,86.36363983154297,76.68582916259766,29855
561,4301,86.36363983154297,76.095703125,30502
562,4302,86.36363983154297,76.24624633789062,29916
563,4303,88.26815795898438,79.0912857055664,29711
564,4304,87.00565338134766,77.22566986083984,30029
565,4306,87.64044952392578,78.26834106445312,29921
566,4307,87.00565338134766,77.99027252197266,30178
567,4308,85.71428680419922,75.58112335205078,30437
568,4309,86.36363983154297,76.15348052978516,29754
569,4476,87.00565338134766,77.86463165283203,30080
570,4478,87.00565338134766,77.3637924194336,30669
571,4479,85.71428680419922,75.99500274658203,30069
572,4480,86.36363983154297,76.88273620605469,30167
573,4481,87.64044952392578,78.02232360839844,29586
574,4484,86.36363983154297,76.12808227539062,30397
575,4485,85.71428680419922,75.75773620605469,29900
576,4486,87.64044952392578,78.90196990966797,29268
577,4487,87.64044952392578,78.00408935546875,29129
